3.841,11:55:14,2016-12-28,1,1
3.951,11:57:06,2016-12-28,2,1
3.950,11:58:58,2016-12-28,3,1
3.946,12:00:52,2016-12-28,4,1
3.944,12:02:48,2016-12-28,5,1
3.912,12:04:43,2016-12-28,1,2
3.907,12:06:37,2016-12-28,2,2
3.930,12:08:30,2016-12-28,3,2
3.902,12:10:24,2016-12-28,4,2
3.905,12:12:20,2016-12-28,5,2
7.083,12:14:15,2016-12-28,3,0
4.011,12:16:10,2016-12-28,4,0
